name1	name2	module
CYP2C8	CYP4F2	2
CYP2C8	UGT2B4	2
CYP2C8	CYP4A11	2
CYP2C8	MGST1	2
CYP2C8	UGT1A4	2
CYP2C8	UGT2B17	2
CYP2C8	CYP4A22	2
CYP2C8	FMO5	2
CYP2C8	GSTA2	2
CYP2C8	FMO3	2
CYP2C8	CYP4F11	2
CYP2C8	SULT1A1	2
CYP2C9	PTGS1	2
CYP2C9	UGT2B4	2
CYP2C9	FMO3	2
CYP2C9	GSTA1	2
CYP2C9	UGT1A4	2
CYP2C9	UGT2B15	2
CYP2C9	MGST1	2
CYP2C9	UGT2B17	2
CYP2C9	CYP3A7	2
CYP2C9	CYP4F11	2
CYP2C9	CYP4A22	2
CYP2C9	SULT1A1	2
CYP2C9	CYP4A11	2
CYP2C9	SULT1A2	2
CYP2C9	CYP4F2	2
CYP2C9	GSTA2	2
CYP2C9	FMO5	2
CYP2D6	FMO3	2
CYP2D6	CYP4F2	2
CYP2D6	UGT2B4	2
CYP2D6	CYP4A11	2
CYP2D6	CYP3A7	2
CYP2D6	UGT1A4	2
CYP2D6	SULT1A1	2
CYP2D6	UGT2B15	2
CYP2D6	FMO5	2
CYP2D6	SULT1A2	2
CYP2D6	UGT2B17	2
CYP2D6	CYP4A22	2
CYP2E1	MGST1	2
CYP2E1	UGT2B17	2
CYP2E1	SULT1A1	2
CYP2E1	CYP4F11	2
CYP2E1	CYP4A22	2
CYP2E1	GSTA1	2
CYP2E1	CYP4A11	2
CYP2E1	GSTA2	2
CYP2E1	FMO3	2
CYP2E1	CYP3A7	2
CYP2E1	PTGS1	2
CYP2E1	UGT2B4	2
CYP2E1	UGT1A4	2
CYP2E1	UGT2B15	2
CYP2E1	CYP4F2	2
CYP2E1	FMO5	2
CYP2J2	CYP4A22	2
CYP2J2	CYP4F11	2
CYP2J2	PTGIS	2
CYP2J2	CYP4A11	2
CYP2J2	SULT1A1	2
CYP2J2	CYP4F2	2
CYP2J2	FGGY	2
CYP2J2	PTGS1	2
CYP3A4	MRPS7	2
CYP3A4	REPIN1	2
CYP3A4	SULT1A1	2
CYP3A4	SULT1A2	2
CYP3A4	FMO5	2
CYP3A4	GSTA2	2
CYP3A4	SULT1E1	2
CYP3A4	MGST1	2
CYP3A4	CYP3A7	2
CYP3A4	HSD17B2	2
CYP3A4	UGT2B15	2
CYP3A4	CYP4A22	2
CYP3A4	HSD17B6	2
CYP3A4	UGT2B4	2
CYP3A4	CYP4F2	2
CYP3A4	FMO3	2
CYP3A4	HSD17B8	2
CYP3A4	SULT1B1	2
CYP3A4	CYP4A11	2
CYP3A4	UGT1A4	2
CYP3A4	UGT2B17	2
CYP3A4	GSTA1	2
CYP3A5	UGT2B4	2
CYP3A5	UGT2B15	2
CYP3A5	GSTA1	2
CYP3A5	HSD17B6	2
CYP3A5	HSD17B2	2
CYP3A5	UGT1A4	2
CYP3A5	CYP4A11	2
CYP3A5	CYP4A22	2
CYP3A5	FMO3	2
CYP3A5	UGT2B17	2
CYP3A5	SULT1E1	2
CYP3A5	HSD17B8	2
CYP3A5	SULT1A1	2
CYP3A5	SULT1B1	2
CYP3A5	CYP4F2	2
CYP3A5	CYP3A7	2
CYP3A5	PTGIS	2
CYP3A5	GSTA2	2
CYP3A5	FRK	2
CYP3A5	MGST1	2
CYP7A1	UGT2B4	2
CYP7A1	FMO3	2
CYP8B1	FMO3	2
CYP8B1	UGT2B4	2
DAXX	SP100	4
DAXX	USP7	4
DAXX	TBL1XR1	4
DAXX	STK4	4
DAXX	DEK	4
DCXR	MSRA	1
DCXR	ME2	1
DCXR	FAM120B	1
DDX17	RSL1D1	5
DDX17	UPF1	5
DDX17	HEATR1	5
DDX17	HNRNPH2	5
DDX17	HNRNPF	5
DDX17	SNRNP70	5
DDX17	POLR1C	5
DDX17	GAR1	5
DDX17	TFB2M	5
DDX17	DDX18	5
DDX17	NSUN2	5
